step, loss, error, sigma
1820,0.0542923,0.113147,15.496
1830,0.0574395,0.108623,15.4822
1840,0.0566691,0.113137,15.5314
1850,0.0676751,0.10936,15.4022
1860,0.109766,0.113658,15.633
1870,0.186969,0.117399,15.3915
1880,0.0913701,0.114528,15.5546
1890,0.192037,0.11265,15.3014
1900,0.311722,0.115747,15.5852
1910,0.467628,0.0975238,15.3714
1920,0.547508,0.127803,15.4154
1930,0.329229,0.0919473,15.748
1940,0.247085,0.105811,15.491
1950,0.365232,0.104399,15.6345
1960,0.24649,0.11066,15.5171
1970,0.113836,0.108967,15.6352
1980,0.0945462,0.111756,15.5192
1990,0.0788288,0.10491,15.608
2000,0.0690706,0.106353,15.4851
2010,0.0633197,0.10836,15.4652
2020,0.0392909,0.104191,15.5282
2030,0.0378104,0.106637,15.4933
2040,0.0533959,0.103311,15.559
2050,0.0319276,0.105823,15.5202
2060,0.0556536,0.105208,15.483
2070,0.0462299,0.101991,15.5553
2080,0.0857686,0.102594,15.4424
2090,0.111383,0.101222,15.5608
2100,0.0904193,0.112085,15.4496
2110,0.0879993,0.113226,15.5803
2120,0.066191,0.107664,15.6024
2130,0.0606923,0.101735,15.5027
2140,0.0824239,0.101936,15.5902
2150,0.124086,0.0949493,15.404
2160,0.200435,0.0997278,15.4839
2170,0.080247,0.0999554,15.4211
2180,0.0835519,0.102,15.5968
2190,0.0766113,0.0988831,15.5678
2200,0.0315263,0.0970817,15.5751
2210,0.0494827,0.0907437,15.5955
2220,0.0275893,0.0914348,15.5875
2230,0.0579728,0.0946244,15.4972
2240,0.079276,0.0979564,15.6047
2250,0.0564101,0.0957636,15.618
2260,0.0479427,0.0981215,15.5676
2270,0.0515356,0.0924496,15.513
2280,0.0356029,0.0933321,15.5163
2290,0.0817023,0.0913921,15.5754
2300,0.0842777,0.0973078,15.6066
2310,0.123109,0.0915696,15.4831
2320,0.0601437,0.0934201,15.661
2330,0.171104,0.0919575,15.4577
2340,0.121268,0.0844655,15.6258
2350,0.086176,0.0977276,15.5761
2360,0.143781,0.0933394,15.6945
2370,0.0535149,0.0943128,15.6231
2380,0.0810807,0.0923733,15.508
2390,0.0442896,0.0967747,15.6022
2400,0.0745682,0.0961766,15.57
2410,0.0794283,0.092853,15.6494
2420,0.103907,0.0998635,15.5781
2430,0.188264,0.0837031,15.685
2440,0.0994921,0.0923201,15.6671
2450,0.112326,0.0937982,15.5416
2460,0.102134,0.103391,15.5671
