step, Ka, Kd, Ks, alpha, predict
1200,16.4149,0.174792,0.510522,0.595246,8.89575
1210,16.9015,0.174692,0.510927,0.597697,8.9694
1220,15.8538,0.174216,0.511016,0.600072,9.04286
1230,15.105,0.173545,0.510836,0.602315,9.11611
1240,14.1953,0.174248,0.511977,0.604879,9.18913
1250,13.3682,0.174551,0.51275,0.607337,9.26194
1260,12.6434,0.17439,0.513073,0.609658,9.33453
1270,12.4537,0.174008,0.513185,0.611893,9.4069
1280,11.9028,0.174116,0.51376,0.614236,9.47902
1290,10.8356,0.173904,0.514026,0.616473,9.55091
1300,10.6571,0.17383,0.514418,0.618724,9.62254
1310,10.3788,0.173745,0.514797,0.620949,9.69392
1320,9.43094,0.173691,0.515201,0.623159,9.76502
1330,9.40285,0.173559,0.515527,0.625326,9.83586
1340,8.41176,0.172369,0.514818,0.627151,9.90642
1350,8.47813,0.173645,0.5165,0.629706,9.97665
1360,7.99821,0.173135,0.516441,0.631656,10.0466
1370,7.55554,0.173341,0.51708,0.633856,10.1162
1380,6.91079,0.173227,0.517401,0.635912,10.1855
1390,6.7231,0.173008,0.517615,0.637904,10.2545
1400,6.35305,0.172951,0.517984,0.639937,10.3231
1410,6.33481,0.172956,0.51841,0.641969,10.3914
1420,5.76494,0.172781,0.518652,0.643908,10.4593
1430,5.24647,0.171774,0.518063,0.645454,10.5269
1440,5.10296,0.172364,0.519051,0.647638,10.594
1450,4.76846,0.172928,0.520018,0.649883,10.6607
1460,4.58746,0.172469,0.519961,0.651576,10.727
1470,4.22637,0.172314,0.5202,0.653394,10.7929
1480,3.80317,0.172312,0.520586,0.655267,10.8583
1490,3.75745,0.172348,0.521006,0.657139,10.9232
1500,3.36912,0.172386,0.521425,0.658988,10.9877
1510,3.16986,0.171876,0.521287,0.660506,11.0516
1520,3.04827,0.171795,0.521577,0.662235,11.115
1530,2.81279,0.171784,0.521931,0.663984,11.1779
1540,2.54538,0.171892,0.522401,0.665792,11.2403
1550,2.40855,0.171928,0.522792,0.667527,11.302
1560,2.22022,0.172069,0.523283,0.669304,11.3631
1570,2.07095,0.171549,0.523108,0.670624,11.4237
1580,1.89427,0.17189,0.523789,0.672496,11.4835
1590,1.68394,0.171386,0.523619,0.673754,11.5427
1600,1.60634,0.171226,0.523786,0.675217,11.6012
1610,1.44063,0.171801,0.524685,0.677201,11.6589
1620,1.33938,0.17119,0.524392,0.678275,11.7159
1630,1.23819,0.171168,0.524681,0.679759,11.7721
1640,1.0594,0.171668,0.525487,0.681628,11.8275
1650,0.989413,0.170886,0.525005,0.682451,11.8821
1660,0.924369,0.171276,0.52569,0.684187,11.9357
1670,0.814335,0.171357,0.526058,0.685645,11.9884
1680,0.724632,0.170719,0.525701,0.686467,12.0402
1690,0.661023,0.171252,0.526509,0.688245,12.091
1700,0.609929,0.170804,0.52633,0.689159,12.1407
1710,0.548172,0.170936,0.526723,0.690534,12.1894
1720,0.46631,0.171023,0.527065,0.69184,12.2369
1730,0.412914,0.170526,0.526814,0.692597,12.2834
1740,0.374511,0.171103,0.527631,0.694278,12.3285
1750,0.320999,0.170898,0.527658,0.695211,12.3725
1760,0.268364,0.170698,0.527684,0.696119,12.4152
1770,0.234029,0.170411,0.527614,0.696904,12.4566
1780,0.196797,0.170706,0.52812,0.698188,12.4965
1790,0.177954,0.170926,0.528541,0.699366,12.5351
1800,0.160566,0.170109,0.527917,0.699541,12.5722
1810,0.124693,0.170662,0.528656,0.700949,12.6078
1820,0.11134,0.170447,0.528618,0.701603,12.6419
1830,0.0907662,0.169907,0.528244,0.701902,12.6744
1840,0.0773664,0.170631,0.529128,0.703356,12.7053
1850,0.0627091,0.170084,0.528732,0.703564,12.7345
1860,0.0557434,0.170052,0.528841,0.704216,12.7621
1870,0.0430082,0.170465,0.529387,0.705251,12.788
1880,0.0321625,0.169853,0.528899,0.705262,12.8122
1890,0.0333888,0.170368,0.529529,0.706311,12.8346
1900,0.0225114,0.170014,0.529281,0.706481,12.8554
1910,0.0205756,0.169922,0.529286,0.70686,12.8746
1920,0.0114902,0.170402,0.529855,0.707752,12.8919
1930,0.0306165,0.169641,0.529175,0.7074,12.9078
1940,0.0157763,0.169899,0.529504,0.707998,12.922
1950,0.00836109,0.170173,0.529842,0.708574,12.9346
1960,0.00438058,0.170071,0.529797,0.70875,12.9458
1970,0.00569943,0.170399,0.530175,0.709309,12.9556
1980,0.0141065,0.169844,0.529662,0.708972,12.9641
1990,0.00732601,0.170132,0.529987,0.709432,12.9713
2000,0.00935287,0.170298,0.530184,0.709745,12.9775
2010,0.00371947,0.169705,0.529616,0.709285,12.9826
2020,0.0161091,0.170258,0.530191,0.709933,12.9868
2030,0.00750452,0.169721,0.529671,0.709485,12.9902
2040,0.00396218,0.170255,0.530219,0.710079,12.9928
2050,0.00817838,0.170155,0.53013,0.710031,12.9949
2060,0.00058041,0.169925,0.529908,0.709841,12.9965
2070,0.0413823,0.170017,0.530003,0.70996,12.9977
2080,0.0283861,0.170348,0.530341,0.710311,12.9985
2090,0.00998692,0.169733,0.529729,0.709713,12.9992
2100,0.0037268,0.170199,0.530197,0.710187,12.9995
2110,0.00177455,0.170034,0.530033,0.710028,12.9998
2120,0.000622114,0.17,0.53,0.709997,12.9999
2130,0.000294147,0.170062,0.530061,0.710061,13
2140,0.000187601,0.16993,0.52993,0.709931,13
2150,0.0094809,0.169259,0.529259,0.709261,13.0002
2160,0.0300045,0.169606,0.529606,0.709608,13.0002
2170,0.00979616,0.169695,0.529695,0.709696,13.0002
2180,0.00386453,0.169801,0.529801,0.709802,13.0001
2190,0.00163589,0.169935,0.529935,0.709935,13.0001
2200,0.000929089,0.170051,0.530051,0.710051,13
2210,0.00648413,0.170576,0.530576,0.710576,12.9998
2220,0.0250401,0.169867,0.529867,0.709868,13.0001
2230,0.00699104,0.169786,0.529787,0.709787,13.0001
2240,0.00273381,0.16984,0.52984,0.70984,13.0001
2250,0.00186157,0.170151,0.530152,0.710152,13
2260,0.0078785,0.17039,0.530391,0.710391,12.9998
2270,0.00797887,0.169778,0.529778,0.709778,13.0001
2280,0.00983207,0.169926,0.529926,0.709927,13.0001
2290,0.00690003,0.17043,0.53043,0.710431,12.9998
2300,0.00885435,0.169675,0.529675,0.709675,13.0002
2310,0.00529998,0.170188,0.530188,0.710189,12.9999
2320,0.0139063,0.170199,0.530199,0.7102,12.9999
2330,0.00665547,0.169764,0.529764,0.709765,13.0002
2340,0.00377284,0.17035,0.530351,0.710351,12.9998
2350,0.012002,0.169804,0.529804,0.709805,13.0002
2360,0.00643578,0.17008,0.53008,0.710081,13
2370,0.0100416,0.170331,0.530331,0.710331,12.9998
2380,0.00487529,0.169665,0.529666,0.709666,13.0003
2390,0.0096392,0.17012,0.53012,0.71012,12.9999
2400,0.00954637,0.170203,0.530203,0.710203,12.9999
2410,0.00469545,0.169605,0.529605,0.709605,13.0003
2420,0.0111439,0.170277,0.530278,0.710279,12.9998
2430,0.00601223,0.169829,0.529829,0.709829,13.0002
2440,0.0100923,0.169793,0.529793,0.709794,13.0002
2450,0.00386719,0.170386,0.530386,0.710387,12.9997
2460,0.0149312,0.169661,0.52966,0.709661,13.0003
2470,0.00740866,0.170279,0.530279,0.71028,12.9998
2480,0.00344653,0.169735,0.529735,0.709735,13.0002
