step, loss, error
10330,0.0864994,0.036089
10340,0.00885229,0.0357393
10350,0.0309088,0.0350977
10360,0.0209898,0.034551
10370,0.0364223,0.0336851
10380,0.105756,0.0330031
10390,0.0394076,0.0332425
10400,0.0634809,0.0333751
10410,0.0163037,0.0316133
10420,0.0348548,0.0309272
10430,0.0174591,0.0311607
10440,0.0384448,0.0315141
10450,0.0105179,0.0319321
10460,0.0393572,0.0323921
10470,0.0300444,0.0326236
10480,0.0398128,0.032803
10490,0.0382357,0.0329878
10500,0.0734931,0.0330072
10510,0.0160836,0.0327354
10520,0.039644,0.0323166
10530,0.020811,0.0321084
10540,0.0221148,0.0319475
10550,0.0616828,0.0316411
10560,0.0160632,0.0323756
10570,0.0435055,0.0327526
10580,0.0146437,0.0324559
10590,0.0846761,0.0323498
10600,0.0241269,0.0325715
10610,0.0311794,0.0319172
10620,0.0415416,0.0316374
10630,0.0507892,0.0310915
10640,0.0369407,0.0306061
10650,0.0520372,0.0303892
10660,0.0223523,0.0304356
10670,0.0365314,0.0299803
10680,0.0197541,0.0294436
10690,0.0427522,0.0284385
10700,0.0177952,0.0278677
10710,0.0175599,0.0278159
10720,0.028196,0.0275537
10730,0.0726646,0.0280642
10740,0.0141338,0.0292651
10750,0.0701056,0.029269
10760,0.0177968,0.0288837
10770,0.0270777,0.0288257
10780,0.0517765,0.0286067
10790,0.0460281,0.028453
10800,0.0140098,0.0286159
10810,0.026552,0.0285294
10820,0.0372618,0.0290818
10830,0.0424536,0.0296542
10840,0.0191421,0.0308498
10850,0.0327097,0.0315136
10860,0.0301511,0.0319407
10870,0.0209355,0.0312046
10880,0.097628,0.0306533
10890,0.0161293,0.0303538
10900,0.0156353,0.0300387
