step, loss, error
2540,0.124666,0.353103
2550,0.163945,0.352391
2560,0.19895,0.352936
2570,0.107149,0.353397
2580,0.111862,0.352965
2590,0.140244,0.351632
2600,0.196651,0.349773
2610,0.158109,0.348085
2620,0.156809,0.347012
2630,0.136102,0.346018
2640,0.209034,0.345054
2650,0.162898,0.344424
2660,0.227319,0.343895
2670,0.153811,0.343655
2680,0.122972,0.342966
2690,0.187914,0.343037
2700,0.161826,0.344169
2710,0.145007,0.343678
2720,0.131766,0.342544
2730,0.123161,0.341688
2740,0.156626,0.340776
2750,0.150902,0.340181
2760,0.181874,0.339611
2770,0.258046,0.33927
2780,0.238548,0.338293
2790,0.102395,0.337039
2800,0.158041,0.336413
2810,0.14138,0.335809
2820,0.146968,0.334689
2830,0.198027,0.333485
2840,0.185919,0.333335
2850,0.140498,0.334038
2860,0.160856,0.334604
2870,0.155307,0.334861
2880,0.135816,0.334448
2890,0.13931,0.334129
2900,0.132218,0.333903
2910,0.143089,0.333092
2920,0.130546,0.331556
2930,0.145031,0.330751
2940,0.132885,0.330208
2950,0.192117,0.32947
2960,0.157135,0.329002
2970,0.114091,0.328897
2980,0.147251,0.328418
2990,0.168891,0.329047
3000,0.156896,0.329256
3010,0.18357,0.329184
3020,0.102938,0.328621
3030,0.142474,0.327444
3040,0.12736,0.325782
3050,0.165363,0.324615
3060,0.123527,0.325143
3070,0.121153,0.324521
3080,0.259768,0.323134
3090,0.104861,0.32062
3100,0.181297,0.319727
3110,0.199286,0.319924
3120,0.21255,0.320372
3130,0.213348,0.320027
3140,0.121485,0.319812
3150,0.124945,0.318955
3160,0.20554,0.318265
3170,0.126609,0.31722
3180,0.133744,0.317445
3190,0.199152,0.317942
3200,0.167062,0.316219
3210,0.176129,0.314036
3220,0.0768312,0.311425
3230,0.124586,0.309521
3240,0.142257,0.307852
3250,0.102431,0.30649
3260,0.154348,0.305516
3270,0.147056,0.305784
3280,0.152289,0.305754
3290,0.146112,0.306252
3300,0.12687,0.306506
3310,0.174803,0.306392
3320,0.143809,0.3056
3330,0.198872,0.304947
3340,0.133228,0.304017
3350,0.171202,0.30282
3360,0.115576,0.301564
3370,0.151929,0.300701
3380,0.164851,0.300142
3390,0.184965,0.298869
3400,0.0896969,0.297754
3410,0.160194,0.296572
3420,0.172977,0.296071
3430,0.0980717,0.296112
3440,0.147484,0.296567
3450,0.159014,0.296439
3460,0.192756,0.295788
3470,0.122634,0.295557
3480,0.123749,0.295363
3490,0.107114,0.29511
3500,0.109712,0.294766
3510,0.0987842,0.294136
3520,0.170679,0.293778
3530,0.161835,0.293269
3540,0.137497,0.292705
3550,0.12568,0.291788
3560,0.15081,0.290659
3570,0.130018,0.289916
3580,0.119768,0.288789
3590,0.130899,0.287353
3600,0.172787,0.285908
3610,0.150728,0.285385
3620,0.156056,0.284701
3630,0.111853,0.284152
3640,0.152431,0.283607
3650,0.147715,0.283065
3660,0.15433,0.28236
3670,0.130584,0.281921
3680,0.170344,0.281575
3690,0.186534,0.280806
3700,0.119831,0.280097
3710,0.134861,0.279403
3720,0.141728,0.278804
3730,0.145931,0.278492
3740,0.0861822,0.278422
3750,0.100562,0.278556
3760,0.112531,0.278489
3770,0.191054,0.278099
3780,0.102033,0.276724
3790,0.11924,0.275731
3800,0.168747,0.27518
3810,0.137469,0.273474
3820,0.108608,0.271753
3830,0.147088,0.271168
3840,0.154007,0.271018
3850,0.159642,0.271072
3860,0.106592,0.270119
3870,0.0994241,0.268609
3880,0.134454,0.267259
3890,0.103946,0.266386
3900,0.179062,0.265502
3910,0.174409,0.264701
3920,0.203032,0.264438
3930,0.0851055,0.263983
3940,0.165093,0.262827
3950,0.228965,0.262156
3960,0.109626,0.261592
3970,0.152594,0.261478
3980,0.16531,0.261312
3990,0.100485,0.260298
4000,0.138345,0.259576
4010,0.147973,0.260177
4020,0.101212,0.25937
4030,0.14469,0.258053
4040,0.118397,0.256496
4050,0.197122,0.255299
4060,0.0937332,0.254385
4070,0.0688466,0.253943
4080,0.124834,0.253094
4090,0.154325,0.252258
4100,0.128866,0.252037
4110,0.152263,0.252202
4120,0.123309,0.25208
4130,0.161818,0.252341
4140,0.103426,0.251988
4150,0.125897,0.251403
4160,0.128656,0.249892
4170,0.0889984,0.248711
4180,0.104859,0.24819
4190,0.104292,0.248258
4200,0.0959457,0.247795
4210,0.092999,0.246872
4220,0.20969,0.246154
4230,0.133278,0.245899
4240,0.0972028,0.244923
4250,0.146979,0.243851
4260,0.124748,0.243464
4270,0.15289,0.241923
4280,0.230499,0.240859
4290,0.124103,0.240295
4300,0.154282,0.239584
4310,0.116879,0.238629
4320,0.10809,0.238017
4330,0.134457,0.237156
4340,0.138019,0.236614
4350,0.158961,0.23589
4360,0.123027,0.234326
4370,0.129696,0.234171
4380,0.105672,0.233995
4390,0.16256,0.233307
4400,0.075055,0.232052
4410,0.0953525,0.230305
4420,0.159551,0.228912
4430,0.180186,0.22814
4440,0.113674,0.227996
4450,0.131665,0.227465
4460,0.113006,0.226736
4470,0.113425,0.226563
4480,0.0924547,0.226506
4490,0.168701,0.225777
4500,0.0962327,0.22598
4510,0.0876116,0.226505
4520,0.11096,0.226672
4530,0.123328,0.226211
4540,0.0883233,0.225707
4550,0.14235,0.224954
4560,0.148863,0.224143
4570,0.115147,0.223777
4580,0.18418,0.224279
4590,0.107594,0.224406
4600,0.0900178,0.22344
4610,0.135554,0.222866
4620,0.200434,0.222147
4630,0.105805,0.221832
4640,0.157091,0.220798
4650,0.113316,0.219958
4660,0.145416,0.217988
4670,0.167451,0.215666
4680,0.11531,0.214791
4690,0.135523,0.213975
4700,0.102701,0.213656
4710,0.0704317,0.21302
4720,0.0811907,0.212688
4730,0.0545159,0.212787
4740,0.130681,0.211874
4750,0.105428,0.211107
4760,0.111171,0.211034
4770,0.151456,0.210701
4780,0.139975,0.210525
4790,0.0952219,0.21207
4800,0.173327,0.21275
4810,0.0913253,0.213407
4820,0.132686,0.213977
4830,0.0849876,0.214665
4840,0.156727,0.214837
4850,0.186381,0.216389
4860,0.0857748,0.217216
4870,0.187642,0.217512
4880,0.0918954,0.218069
4890,0.108192,0.218061
4900,0.11898,0.217591
4910,0.084949,0.216642
4920,0.135134,0.216052
4930,0.147153,0.215643
4940,0.166505,0.216334
4950,0.113123,0.217331
4960,0.0641399,0.21665
4970,0.0878927,0.215771
4980,0.0939979,0.215195
4990,0.157963,0.214765
5000,0.107315,0.214148
5010,0.0985995,0.21316
5020,0.170159,0.211991
5030,0.159468,0.210769
5040,0.12791,0.210286
5050,0.116845,0.210079
5060,0.141008,0.209283
5070,0.125836,0.209404
5080,0.178762,0.210549
5090,0.143957,0.210766
5100,0.135213,0.209678
5110,0.124425,0.208536
5120,0.17641,0.208088
5130,0.143061,0.206136
5140,0.111935,0.204369
5150,0.117539,0.204171
5160,0.138276,0.204184
5170,0.107531,0.203577
5180,0.105676,0.202886
5190,0.100377,0.202354
5200,0.10077,0.201293
5210,0.0816458,0.200394
5220,0.150811,0.199367
5230,0.061772,0.198546
5240,0.102504,0.197983
5250,0.10436,0.198092
5260,0.11492,0.197359
5270,0.130009,0.196836
5280,0.1407,0.1962
5290,0.114472,0.195664
5300,0.0791738,0.195142
5310,0.0979566,0.193694
5320,0.105727,0.192754
5330,0.0929401,0.192823
5340,0.121063,0.191661
5350,0.102209,0.190368
5360,0.138448,0.189398
5370,0.13788,0.188829
5380,0.100296,0.188546
5390,0.16081,0.188589
5400,0.0705423,0.188871
5410,0.0862811,0.18853
5420,0.16082,0.188269
5430,0.157102,0.188737
5440,0.0751701,0.189329
5450,0.0968075,0.189451
5460,0.0952924,0.18847
5470,0.0946348,0.186543
5480,0.130582,0.186462
5490,0.0821826,0.186872
5500,0.165783,0.186545
5510,0.147801,0.185962
5520,0.113054,0.185164
5530,0.111824,0.184453
5540,0.0938249,0.183645
5550,0.16019,0.183493
5560,0.0987319,0.184569
5570,0.0914258,0.185305
5580,0.0834006,0.185379
5590,0.0615876,0.184932
5600,0.136996,0.184282
5610,0.143559,0.182957
5620,0.0669488,0.181141
5630,0.144328,0.179786
5640,0.101139,0.178936
5650,0.106743,0.178036
5660,0.115783,0.177703
5670,0.102021,0.176856
5680,0.0923557,0.175994
5690,0.107905,0.17527
5700,0.180539,0.174582
5710,0.117032,0.174731
5720,0.165686,0.175053
5730,0.0973585,0.175931
5740,0.137852,0.176208
5750,0.104306,0.175778
5760,0.110098,0.174963
5770,0.107649,0.17503
5780,0.0707883,0.174453
5790,0.15286,0.174432
5800,0.14625,0.175309
5810,0.0756208,0.174458
5820,0.149401,0.173021
5830,0.144553,0.171528
5840,0.0626976,0.170148
5850,0.10576,0.169959
5860,0.113078,0.17102
5870,0.136889,0.171692
5880,0.0880926,0.171871
5890,0.0883927,0.171645
5900,0.0944336,0.171263
5910,0.112303,0.17117
5920,0.128576,0.171535
5930,0.127359,0.171848
5940,0.0577638,0.172254
5950,0.0808405,0.172775
5960,0.127774,0.173366
5970,0.121702,0.173788
5980,0.13686,0.172882
5990,0.144711,0.172705
6000,0.0717712,0.173109
6010,0.072303,0.173719
6020,0.0726186,0.173519
6030,0.0708449,0.172526
6040,0.128541,0.17151
6050,0.131013,0.171362
6060,0.11655,0.170411
6070,0.085476,0.16877
6080,0.0541413,0.168041
6090,0.10512,0.166976
6100,0.157576,0.165837
6110,0.0993521,0.165837
6120,0.105713,0.166234
6130,0.0988991,0.166732
6140,0.0858645,0.1659
6150,0.120027,0.164427
6160,0.125416,0.163641
6170,0.0869111,0.164098
6180,0.0565931,0.163782
6190,0.0896064,0.163836
6200,0.1148,0.164646
6210,0.142878,0.164416
6220,0.0871038,0.163545
6230,0.0839391,0.162856
6240,0.110532,0.161889
6250,0.0970297,0.161634
6260,0.0695528,0.161753
6270,0.0764297,0.161419
6280,0.0749879,0.16024
6290,0.124023,0.158376
6300,0.12381,0.157601
6310,0.130525,0.158414
6320,0.122145,0.158765
6330,0.05541,0.157804
6340,0.0903974,0.156192
6350,0.108373,0.154826
6360,0.142571,0.155183
6370,0.0930032,0.156219
6380,0.0857619,0.156732
6390,0.128569,0.156759
6400,0.088215,0.157285
6410,0.13169,0.157184
6420,0.131153,0.15607
6430,0.103845,0.155143
6440,0.121085,0.155231
6450,0.0799545,0.155115
6460,0.0713688,0.154972
6470,0.0766295,0.154721
6480,0.0667485,0.154402
6490,0.0750444,0.15352
6500,0.0864104,0.153062
6510,0.110024,0.153194
6520,0.120811,0.153349
6530,0.0806824,0.153486
6540,0.136312,0.15425
6550,0.0882359,0.155546
6560,0.129892,0.155436
6570,0.075364,0.155137
6580,0.111851,0.154188
6590,0.205621,0.153043
6600,0.142644,0.152622
6610,0.0621346,0.15207
6620,0.10236,0.151224
6630,0.114752,0.149285
6640,0.0884419,0.147149
6650,0.063592,0.146077
6660,0.0980541,0.144322
6670,0.123329,0.143769
6680,0.0954601,0.144145
6690,0.122647,0.144308
6700,0.0797536,0.144136
6710,0.118475,0.143575
6720,0.136225,0.142881
6730,0.133084,0.142981
6740,0.0507037,0.142385
6750,0.0802066,0.141957
6760,0.0726738,0.141105
6770,0.0593598,0.139915
6780,0.0981832,0.139449
6790,0.0932191,0.139041
6800,0.0951371,0.138472
6810,0.0626511,0.138045
6820,0.085377,0.137035
6830,0.0674381,0.135507
6840,0.119157,0.134956
6850,0.0850489,0.134661
6860,0.0607602,0.134382
6870,0.0924993,0.134199
6880,0.0711644,0.133267
6890,0.158337,0.131713
6900,0.0945777,0.130967
6910,0.093834,0.131084
6920,0.0948608,0.131139
6930,0.0678487,0.131482
6940,0.106313,0.131149
6950,0.0913592,0.130867
6960,0.0975178,0.13067
6970,0.0635723,0.130749
6980,0.0919358,0.130091
6990,0.077952,0.128337
7000,0.10788,0.126482
7010,0.0896932,0.124409
7020,0.0951831,0.122525
7030,0.138998,0.121368
7040,0.132371,0.121321
7050,0.0806646,0.121273
7060,0.0973246,0.12145
7070,0.0677923,0.121849
7080,0.115043,0.12178
7090,0.132211,0.120542
7100,0.0777236,0.117986
7110,0.13061,0.116472
7120,0.0668678,0.115114
7130,0.105663,0.113668
7140,0.0695527,0.112257
7150,0.115251,0.11132
7160,0.0633131,0.111502
7170,0.0781147,0.112194
7180,0.0956453,0.113348
7190,0.0567008,0.113631
7200,0.0891262,0.113194
7210,0.0436747,0.112995
7220,0.0666566,0.112958
7230,0.0989222,0.112632
7240,0.0850347,0.11234
7250,0.135151,0.111264
7260,0.0905783,0.109833
7270,0.052185,0.109194
7280,0.042755,0.108984
7290,0.0766395,0.108587
7300,0.0755419,0.108458
7310,0.113705,0.108177
7320,0.115256,0.107926
7330,0.101324,0.108564
7340,0.105552,0.109029
7350,0.0854986,0.109044
7360,0.0665483,0.109155
7370,0.0691053,0.108931
7380,0.0769411,0.108891
7390,0.0734575,0.108551
7400,0.0527596,0.108417
7410,0.0750197,0.107178
7420,0.0705451,0.104899
7430,0.0533832,0.103271
7440,0.0968582,0.102364
7450,0.0817643,0.101348
7460,0.0722756,0.101235
7470,0.0763802,0.101327
7480,0.110034,0.101662
7490,0.0431635,0.1021
7500,0.0411734,0.102264
7510,0.0717467,0.101639
7520,0.0750265,0.100588
7530,0.0644295,0.100098
7540,0.166799,0.100045
7550,0.0776277,0.102345
7560,0.0731681,0.104093
7570,0.0952762,0.10404
7580,0.0295839,0.103246
7590,0.0569838,0.102581
7600,0.0532511,0.101874
7610,0.0776858,0.101049
7620,0.0534794,0.0998332
7630,0.0376471,0.0989223
7640,0.125238,0.098715
7650,0.145976,0.0985451
7660,0.0564054,0.0984015
7670,0.0743174,0.0982564
7680,0.0704471,0.0975784
7690,0.075791,0.0974708
7700,0.0620866,0.0975585
7710,0.0606084,0.0971271
7720,0.039068,0.0965021
7730,0.118545,0.0959128
7740,0.0384114,0.0960848
7750,0.0615892,0.096121
7760,0.130836,0.0954988
7770,0.0595863,0.0950937
7780,0.0560107,0.0951259
7790,0.0889658,0.0948083
7800,0.0943719,0.0948716
7810,0.0774735,0.0961902
7820,0.0377528,0.0963913
7830,0.0724052,0.096127
7840,0.119017,0.0956928
7850,0.0401561,0.0950959
7860,0.0314753,0.0937903
7870,0.100562,0.0929451
7880,0.0720379,0.0931562
7890,0.106038,0.0935439
7900,0.0573239,0.0938756
7910,0.0736557,0.0928901
7920,0.0958953,0.0913665
7930,0.0594676,0.0909632
7940,0.0469883,0.0902344
7950,0.1002,0.0899199
7960,0.0470855,0.0903914
7970,0.0911646,0.0914744
7980,0.127874,0.092676
7990,0.066143,0.0926873
8000,0.0459958,0.0919963
8010,0.0574093,0.0911821
8020,0.0687387,0.0904359
8030,0.0482093,0.0893508
8040,0.0390422,0.0886557
8050,0.0584562,0.0874591
8060,0.0328967,0.0864681
8070,0.0614202,0.0856234
8080,0.0652432,0.084993
8090,0.0304344,0.0852966
8100,0.138898,0.08506
8110,0.0332978,0.0848875
8120,0.087818,0.0844241
8130,0.0213477,0.0845705
8140,0.0418316,0.0845923
8150,0.0991801,0.0841771
8160,0.0801063,0.0837162
8170,0.0526564,0.0830178
8180,0.0365756,0.0821708
8190,0.0589373,0.0813392
8200,0.0618721,0.0814192
8210,0.0880029,0.0818547
8220,0.0310773,0.08178
8230,0.0388193,0.0811353
8240,0.0871471,0.0799746
8250,0.137464,0.0788948
