step, predict
10,3777.82
20,845.291
30,409.445
40,638.426
50,511.78
60,342.024
70,282.071
80,270.889
90,271.403
100,262.314
110,246.239
120,227.744
130,218.204
140,221.182
150,208.718
160,196.511
170,195.251
180,196.531
190,181.608
200,187.173
210,182.697
220,176.452
230,171.068
240,180.831
250,175.39
260,172.408
270,168.257
280,172.143
290,167.681
300,171.525
310,169.517
320,171.92
330,169.914
340,170.709
350,172.235
360,166.638
370,163.87
380,173.695
390,171.782
400,172.139
410,175.162
420,169.642
430,172.457
440,168.149
450,171.896
460,165.064
470,171.002
480,171.998
490,163.794
500,169.817
510,169.683
520,168.414
530,163.217
540,164.594
550,159.984
560,172.187
570,166.794
580,173.649
590,169.207
600,169.022
610,169.915
620,167.928
630,162.712
640,164.345
650,159.834
660,161.856
670,163.748
680,162.775
690,161.74
700,163.38
710,155.46
720,160.892
730,159.495
740,158.223
750,164.042
760,159.03
770,165.237
780,156.838
790,164.673
800,158.409
810,158.896
820,158.267
830,150.031
840,151.101
850,152.659
860,151.895
870,161.553
880,154.324
890,154.629
900,152.933
910,158.938
920,160.72
930,150.799
940,159.668
950,153.16
960,149.651
970,152.722
980,151.838
990,157.235
1000,145.592
1010,151.523
1020,148.66
1030,150.867
1040,145.665
1050,152.788
1060,153.021
1070,151.907
1080,152.006
1090,153.538
1100,151.881
1110,155.856
1120,152.887
1130,151.721
1140,152.881
1150,152.428
1160,141.412
1170,143.366
1180,141.993
1190,141.306
1200,146.868
1210,142.789
1220,145.857
1230,146.612
1240,144.051
1250,145.152
1260,140.53
1270,144.356
1280,143.719
1290,145.106
1300,144.031
1310,139.984
1320,147.176
1330,147.188
1340,144.73
1350,141.773
1360,143.519
1370,141.169
1380,142.505
1390,141.772
1400,138.738
1410,138.277
1420,145.7
1430,137.989
1440,141.308
1450,142.099
1460,133.035
1470,134.063
1480,132.41
1490,142.485
1500,136.93
1510,137.478
1520,138.638
1530,139.069
1540,136.42
1550,134.275
1560,129.254
1570,135.887
1580,134.931
1590,137.966
1600,129.482
1610,134.136
1620,130.03
1630,132.411
1640,129.704
1650,129.654
1660,127.077
1670,139.468
1680,132.126
1690,131.328
1700,123.903
1710,127.064
1720,128.838
1730,130.197
1740,127.672
1750,129.629
1760,126.885
1770,127.649
1780,128.176
1790,125.225
1800,127.451
1810,130.141
1820,125.826
1830,121.708
1840,122.021
1850,121.649
1860,121.469
1870,126.614
1880,121.232
1890,125.88
1900,122.46
1910,118.408
1920,121.369
1930,119.26
1940,123.85
1950,122.571
1960,116.792
1970,120.433
1980,119.79
1990,119.989
2000,113.51
2010,119.965
2020,116.884
2030,115.23
2040,117.848
2050,121.932
2060,113.192
2070,122.388
2080,113.937
2090,119.034
2100,112.975
2110,119.004
2120,116.743
2130,110.419
2140,116.178
2150,115.56
2160,114.727
2170,115.517
2180,112.378
2190,110.449
2200,111.043
2210,110.947
2220,113.374
2230,109.781
2240,109.405
2250,108.827
2260,109.927
2270,107.31
2280,113.735
2290,103.392
2300,105.701
2310,105.564
2320,108.422
2330,105.479
2340,107.918
2350,109.597
2360,103.916
2370,106.58
2380,102.225
2390,104.568
2400,97.1339
2410,101.544
2420,107.615
2430,98.2998
2440,102.184
2450,101.44
2460,103.973
2470,106.834
2480,103.107
2490,101.745
2500,103.887
2510,99.7227
2520,98.2454
2530,100.757
2540,98.399
2550,95.4144
2560,101.828
2570,98.1146
2580,94.9449
2590,101.537
2600,99.0613
2610,94.2526
2620,95.2807
2630,95.775
2640,98.609
2650,93.6446
2660,97.7091
2670,99.6276
2680,100.287
2690,92.7343
2700,89.2806
2710,92.7787
2720,96.3223
2730,90.8734
2740,89.9562
2750,94.4097
2760,92.6701
2770,92.6482
2780,90.9937
2790,88.7172
2800,91.2239
2810,92.1246
2820,92.3078
2830,88.1447
2840,89.1333
2850,90.5914
2860,92.8774
2870,83.9679
2880,88.9765
2890,86.344
2900,91.5881
2910,89.8772
2920,86.6411
2930,83.4347
2940,87.1332
2950,85.5203
2960,85.6056
2970,81.8253
2980,83.7768
2990,83.2782
3000,82.4987
3010,82.7143
3020,83.949
3030,82.4963
3040,84.4147
3050,85.6996
3060,81.4639
3070,84.3318
3080,82.2976
3090,81.084
3100,80.4273
3110,80.962
3120,79.5335
3130,80.1949
3140,81.4855
3150,77.5145
3160,80.3992
3170,76.375
3180,78.6384
3190,79.7627
3200,78.4929
3210,79.1202
3220,78.5176
3230,78.6487
3240,78.5663
3250,82.4904
3260,75.2518
3270,76.77
3280,73.5061
3290,79.1011
3300,77.6992
3310,77.1432
3320,72.5068
3330,74.9724
3340,75.4413
3350,75.1508
3360,74.7635
3370,73.3946
3380,73.0256
3390,73.4182
3400,73.1245
3410,73.286
3420,68.9226
