step, loss, error, sigma
10,36.7456,0.504739,1.93298
20,15.9591,0.477187,2.89853
30,4.81373,0.480745,3.71082
40,2.64424,0.493525,4.31042
50,1.84568,0.504127,4.77627
60,1.31558,0.511099,5.11859
70,1.04966,0.515217,5.38096
80,1.32839,0.517097,5.58643
90,1.53409,0.518452,5.73002
100,1.41659,0.516298,5.84812
110,1.29266,0.515083,6.00263
120,1.1888,0.51483,6.16042
130,0.964024,0.513889,6.3276
140,1.33184,0.512018,6.49024
150,1.04131,0.509557,6.64998
160,0.892671,0.508044,6.82774
170,0.916491,0.506326,7.01458
180,0.774393,0.503507,7.21593
190,0.907442,0.502821,7.42649
200,0.593643,0.501479,7.62867
210,0.591584,0.498413,7.83446
220,0.613766,0.49584,8.00936
230,0.437978,0.493435,8.1723
240,0.755207,0.490191,8.29023
250,0.605011,0.484728,8.43134
260,0.405992,0.48021,8.61137
270,0.520019,0.477038,8.86173
280,0.463976,0.473268,9.016
290,0.401288,0.47224,9.24081
300,0.476074,0.471532,9.44897
310,0.310188,0.470245,9.61796
320,0.452954,0.469928,9.77379
330,0.328833,0.46901,9.94825
340,0.241644,0.467332,10.1267
350,0.243121,0.466285,10.3387
360,0.290564,0.461802,10.5632
370,0.295701,0.454814,10.7121
380,0.22089,0.450678,10.7551
390,0.193774,0.44664,10.9035
400,0.186942,0.443183,11.0461
410,0.168305,0.440055,11.1903
420,0.111355,0.434746,11.3909
430,0.142607,0.430844,11.5906
440,0.16971,0.430744,11.6418
450,0.121605,0.43073,11.7665
460,0.108985,0.428703,11.9559
470,0.0811654,0.426399,12.0804
480,0.106062,0.424523,12.1848
490,0.110469,0.42032,12.2619
500,0.082422,0.416692,12.3671
510,0.121881,0.40776,12.4912
520,0.0597823,0.406967,12.45
530,0.0831325,0.405876,12.5487
540,0.080085,0.401711,12.7637
550,0.0698019,0.401191,12.9151
560,0.0853693,0.404349,12.938
570,0.0661141,0.404664,13.0786
580,0.0463484,0.403679,13.2063
590,0.054349,0.406758,13.1833
600,0.0489179,0.40621,13.3429
610,0.0494281,0.398201,13.5558
620,0.0408743,0.396158,13.6442
630,0.0740741,0.402428,13.6251
640,0.0435582,0.397424,13.8496
650,0.0538088,0.397055,13.8811
660,0.0475677,0.40259,13.9687
670,0.0518211,0.404999,13.8647
680,0.0771902,0.395017,14.1214
690,0.0440378,0.3795,14.4344
700,0.0384069,0.385367,14.3515
710,0.0379392,0.397196,14.2985
720,0.0413204,0.39797,14.4103
730,0.0402013,0.385963,14.7458
740,0.064889,0.389773,14.6724
750,0.0469912,0.401111,14.6461
760,0.0249141,0.395846,14.8821
770,0.0322666,0.399711,14.8441
780,0.0512254,0.409928,14.7468
790,0.0229905,0.406911,14.9479
800,0.0204696,0.406918,15.0236
810,0.0405683,0.404413,15.117
820,0.0211596,0.412108,15.0246
830,0.030732,0.404237,15.2703
840,0.0355,0.39721,15.223
850,0.0315864,0.411588,14.9974
860,0.0450578,0.408951,15.3744
870,0.0242108,0.397736,15.5525
880,0.0407986,0.400676,15.5048
890,0.0434314,0.405072,15.2548
900,0.0410655,0.392465,15.6274
910,0.0260925,0.374878,15.802
920,0.0190949,0.381108,15.6314
930,0.0232429,0.386064,15.7464
940,0.0282521,0.380251,15.7198
950,0.0902277,0.375803,15.9027
960,0.0205082,0.359689,16.0244
970,0.0535473,0.356963,15.7599
980,0.0306384,0.348253,15.9302
990,0.0268372,0.343042,15.8298
1000,0.0128182,0.360508,15.6769
1010,0.0162846,0.360046,15.7711
1020,0.0117101,0.355126,15.8555
1030,0.00492227,0.355345,15.8478
1040,0.013239,0.355878,15.8721
1050,0.0135979,0.34475,16.007
1060,0.0210336,0.342086,15.9435
1070,0.00921966,0.345242,15.868
1080,0.0188864,0.337426,16.0742
1090,0.0167364,0.333163,15.9265
1100,0.0219552,0.341795,15.842
1110,0.0166087,0.337228,16.0211
1120,0.0327065,0.352693,15.9113
1130,0.0591242,0.349627,16.3729
1140,0.0244434,0.363449,16.169
1150,0.0120954,0.365311,16.3016
1160,0.0214906,0.359738,16.3749
1170,0.0232726,0.365329,16.2019
1180,0.0236472,0.35365,16.4425
1190,0.0257772,0.355137,16.2711
1200,0.0105256,0.353852,16.3417
1210,0.0322305,0.348362,16.2101
1220,0.0239733,0.350776,16.1988
