step, loss, error, sigma
1230,0.0270556,0.327437,16.6144
1240,0.0327922,0.326799,16.4169
1250,0.0323932,0.344994,16.2938
1260,0.0513939,0.341104,16.5723
1270,0.0279224,0.349513,16.3662
1280,0.0227354,0.350017,16.2928
1290,0.0149287,0.351633,16.2099
1300,0.00942047,0.343221,16.311
1310,0.0236724,0.332987,16.2972
1320,0.0214094,0.345373,16.1353
1330,0.0173127,0.338395,16.3734
1340,0.0280057,0.332571,16.2723
1350,0.0155837,0.337762,16.2765
1360,0.0116973,0.331437,16.3811
1370,0.0160478,0.327097,16.3666
1380,0.0122434,0.329132,16.2364
1390,0.00929109,0.332302,16.3666
1400,0.0253687,0.327214,16.3359
1410,0.0310454,0.342099,16.2743
1420,0.0334293,0.325389,16.4031
1430,0.0440702,0.346074,16.0471
1440,0.0170624,0.329944,16.4536
1450,0.0190979,0.322767,16.3166
1460,0.0115003,0.322084,16.327
1470,0.0118864,0.312897,16.3527
1480,0.021142,0.315098,16.3157
1490,0.00767124,0.319059,16.336
1500,0.0187926,0.311608,16.4238
1510,0.0108321,0.311888,16.3149
1520,0.0152497,0.314336,16.3285
1530,0.0279437,0.298109,16.3614
1540,0.0272544,0.307839,16.2658
1550,0.0182981,0.304298,16.3001
1560,0.015187,0.323379,16.1155
1570,0.00846184,0.313995,16.2251
1580,0.0109785,0.299767,16.2616
1590,0.0125728,0.30042,16.2034
1600,0.0109026,0.288374,16.2871
1610,0.00687808,0.285264,16.2508
1620,0.0100635,0.27858,16.2357
1630,0.0128188,0.284062,16.1805
1640,0.00825523,0.276828,16.2289
1650,0.00612969,0.290783,16.0865
1660,0.0170801,0.276086,16.447
1670,0.0311707,0.273042,16.1317
1680,0.0215803,0.288891,16.2469
1690,0.0219598,0.273193,16.3403
1700,0.0102525,0.294674,16.0883
1710,0.00965431,0.29782,16.1211
1720,0.0155373,0.278904,16.3051
1730,0.0152033,0.285728,16.1142
1740,0.00828389,0.277807,16.2975
1750,0.0187671,0.27129,16.3529
1760,0.017755,0.284689,16.2229
1770,0.0229504,0.275963,16.3847
1780,0.00781981,0.280298,16.274
1790,0.00708423,0.277263,16.2802
1800,0.00665584,0.275449,16.2493
1810,0.00650389,0.272737,16.2559
1820,0.0163127,0.268669,16.1298
1830,0.00688644,0.26294,16.218
1840,0.0104768,0.26533,16.0448
1850,0.0104042,0.273029,15.9376
1860,0.0100401,0.261192,16.2319
1870,0.0180518,0.25024,16.1247
1880,0.0103989,0.264288,16.0665
1890,0.00815656,0.255431,16.1305
1900,0.00887147,0.25394,16.2073
