step, predict, noAA
10,24.8839,0
20,17.23,0
30,12.8664,0
40,12.1178,0
50,7.85657,0
60,6.25756,0
70,4.10198,0
80,5.15385,0
90,4.21071,0
100,3.13477,0
110,1.93469,0
120,1.89538,0
130,1.3195,0
140,1.09863,0
150,1.25711,0
160,0.846775,0
170,0.374791,0
180,0.594722,0
190,0.262131,0
200,0.36196,0
210,0.215915,0
220,0.258055,0
230,0.238525,0
240,0.334924,0
250,0.13214,0
260,0.112731,0
270,0.141109,0
280,0.138161,0
290,0.028661,0
300,0.111084,0
310,0.0696215,0
320,0.0636721,0
330,0.0809326,0
340,0.0311865,0
350,0.0898227,0
360,0.00559026,0
370,0.0990809,0
380,0.0488995,0
390,0.116722,0
400,0.0735657,0
410,0.176607,0
420,0.0843575,0
430,0.0381074,0
440,0.0574844,0
450,0.121705,0
460,0.129996,0
470,0.04641,0
480,0.148332,0
490,0.082342,0
500,0.274905,0
510,0.0853254,0
520,0.0843386,0
530,0.318711,0
540,0.25182,0
550,0.11099,0
560,0.0784719,0
570,0.085581,0
580,0.140153,0
590,0.0898473,0
600,0.0988399,0
610,0.0675018,0
620,0.221059,0
630,0.0567982,0
640,0.129988,0
650,0.0591706,0
660,0.103489,0
670,0.122642,0
680,0.106294,0
690,0.0805164,0
700,0.0579285,0
710,0.0585155,0
720,0.127711,0
730,0.0865182,0
740,0.0957357,0
750,0.21967,0
760,0.135163,0
770,0.216549,0
780,0.109148,0
790,0.14725,0
800,0.0826339,0
810,0.150771,0
820,0.103102,0
830,0.105308,0
840,0.148691,0
850,0.138646,0
860,0.107388,0
870,0.078835,0
880,0.0884907,0
890,0.0930869,0
900,0.0304065,0
910,0.0397922,0
920,0.0641849,0
930,0.0797926,0
940,0.124929,0
950,0.0414751,0
960,0.0958631,0
970,0.14838,0
980,0.105679,0
990,0.119135,0
1000,0.0875369,0
1010,0.10533,0
1020,0.0987403,0
1030,0.0794366,0
1040,0.193706,0
1050,0.261101,0
1060,0.149096,0
1070,0.0853155,0
1080,0.359644,0
1090,0.311109,0
1100,0.147217,0
1110,0.0713065,0
1120,0.0975722,0
1130,0.162396,0
1140,0.0917199,0
1150,0.0917782,0
1160,0.149153,0
1170,0.106944,0
1180,0.0499977,0
1190,0.0285411,0
1200,0.128393,0
1210,0.23926,0
1220,0.284614,0
1230,0.263604,0
1240,0.260963,0
1250,0.24534,0
1260,0.375566,0
1270,0.10785,0
1280,0.312356,0
1290,0.19087,0
1300,0.174643,0
1310,0.0935131,0
1320,0.0496405,0
1330,0.134746,0
1340,0.15582,0
1350,0.0442776,0
1360,0.0459056,0
1370,0.00906215,0
1380,0.00869094,0
1390,0.0431505,0
1400,0.109461,0
1410,0.084877,0
1420,0.0307528,0
1430,0.102812,0
1440,0.167797,0
1450,0.0485151,0
1460,0.0862981,0
1470,0.0794037,0
