step, predict, noAA
1480,0.0775635,0
1490,0.0502892,0
1500,0.136903,0
1510,0.157993,0
1520,0.116469,0
1530,0.105248,0
1540,0.088636,0
1550,0.266601,0
1560,0.0660702,0
1570,0.0600855,0
1580,0.192282,0
1590,0.252225,0
1600,0.281179,0
1610,0.0572713,0
1620,0.238896,0
1630,0.168355,0
1640,0.211968,0
1650,0.19348,0
1660,0.187757,0
1670,0.11905,0
1680,0.136771,0
1690,0.151571,0
1700,0.239621,0
1710,0.0473975,0
1720,0.0491476,0
1730,0.134062,0
1740,0.0602891,0
1750,0.126354,0
1760,0.0868001,0
1770,0.0729639,0
1780,0.256001,0
1790,0.446133,0
1800,0.32112,0
1810,0.273837,0
1820,0.297114,0
1830,0.230516,0
1840,0.157792,0
1850,0.167392,0
1860,0.0942747,0
1870,0.295826,0
1880,0.157057,0
1890,0.186643,0
1900,0.166491,0
1910,0.124898,0
1920,0.187535,0
1930,0.0909249,0
1940,0.253585,0
1950,0.0394837,0
1960,0.0654349,0
1970,0.085517,0
1980,0.120321,0
1990,0.106103,0
2000,0.249345,0
2010,0.103765,0
2020,0.0980191,0
2030,0.189836,0
2040,0.0479676,0
2050,0.298121,0
2060,0.344984,0
2070,0.158427,0
2080,0.234651,0
2090,0.212735,0
2100,0.162975,0
2110,0.164186,0
2120,0.216461,0
2130,0.0957019,0
2140,0.0301797,0
2150,0.0998417,0
2160,0.0594583,0
2170,0.110051,0
2180,0.115537,0
2190,0.114938,0
2200,0.152967,0
2210,0.201628,0
2220,0.0893746,0
2230,0.168956,0
2240,0.228776,0
2250,0.18655,0
2260,0.20791,0
2270,0.316113,0
2280,0.224088,0
2290,0.119199,0
2300,0.184883,0
2310,0.181776,0
2320,0.202491,0
2330,0.193089,0
2340,0.161371,0
2350,0.143216,0
2360,0.149674,0
2370,0.151019,0
2380,0.193857,0
2390,0.158058,0
2400,0.138305,0
2410,0.280526,0
2420,0.293833,0
2430,0.271768,0
2440,0.122935,0
2450,0.118549,0
2460,0.0596962,0
2470,0.0949201,0
2480,0.020724,0
2490,0.0664528,0
2500,0.0716825,0
2510,0.0956247,0
2520,0.263158,0
2530,0.17165,0
2540,0.256575,0
2550,0.320568,0
2560,0.181807,0
2570,0.243875,0
2580,0.0764636,0
2590,0.159325,0
2600,0.208695,0
2610,0.072863,0
2620,0.105449,0
2630,0.116272,0
2640,0.0671614,0
2650,0.0636848,0
2660,0.108603,0
2670,0.130376,0
2680,0.146484,0
2690,0.0561829,0
2700,0.0471735,0
2710,0.0817721,0
2720,0.0667581,0
2730,0.129135,0
2740,0.251809,0
2750,0.120108,0
2760,0.145462,0
2770,0.161378,0
2780,0.236853,0
2790,0.370626,0
2800,0.354277,0
2810,0.290801,0
2820,0.343911,0
2830,0.308858,0
2840,0.145776,0
2850,0.205519,0
2860,0.178063,0
2870,0.124563,0
2880,0.0855548,0
2890,0.232991,0
2900,0.0729665,0
2910,0.189315,0
2920,0.128848,0
2930,0.127616,0
2940,0.0967549,0
2950,0.11819,0
2960,0.0683041,0
2970,0.103969,0
2980,0.196565,0
2990,0.0560442,0
3000,0.407869,0
3010,0.243027,0
3020,0.205505,0
3030,0.262676,0
3040,0.199067,0
3050,0.209747,0
3060,0.239494,0
3070,0.261302,0
3080,0.247161,0
3090,0.184778,0
3100,0.276236,0
3110,0.180652,0
3120,0.173929,0
3130,0.0714038,0
3140,0.0893895,0
3150,0.0738733,0
3160,0.148433,0
3170,0.105789,0
3180,0.140602,0
3190,0.129743,0
3200,0.162521,0
3210,0.213367,0
3220,0.343862,0
3230,0.540686,0
3240,0.37312,0
3250,0.520019,0
3260,0.487631,0
3270,0.430837,0
3280,0.362658,0
3290,0.519741,0
3300,0.360717,0
3310,0.313349,0
3320,0.156333,0
3330,0.224373,0
3340,0.294632,0
3350,0.239317,0
3360,0.402509,0
3370,0.409074,0
3380,0.175431,0
3390,0.268418,0
3400,0.0952059,0
3410,0.129377,0
3420,0.208383,0
3430,0.161522,0
3440,0.0787185,0
3450,0.0886665,0
3460,0.133025,0
3470,0.0420962,0
3480,0.0706669,0
3490,0.0530177,0
3500,0.0660126,0
3510,0.0755483,0
3520,0.172093,0
3530,0.151511,0
3540,0.121781,0
3550,0.108125,0
3560,0.0642566,0
3570,0.0477294,0
3580,0.129491,0
3590,0.060695,0
3600,0.0776604,0
3610,0.0283451,0
3620,0.0824293,0
3630,0.169871,0
3640,0.10206,0
3650,0.0748277,0
3660,0.0476958,0
3670,0.025198,0
3680,0.0876509,0
3690,0.200523,0
3700,0.0448918,0
3710,0.114302,0
3720,0.0991802,0
3730,0.0748556,0
3740,0.0630926,0
3750,0.0723661,0
3760,0.0747925,0
3770,0.129345,0
3780,0.112102,0
3790,0.0367893,0
3800,0.0152537,0
3810,0.102579,0
3820,0.11109,0
3830,0.166579,0
3840,0.143561,0
3850,0.140505,0
3860,0.138399,0
3870,0.144634,0
3880,0.178059,0
3890,0.0746374,0
3900,0.105223,0
3910,0.101473,0
3920,0.111427,0
3930,0.173402,0
3940,0.370228,0
3950,0.150952,0
3960,0.140137,0
3970,0.210332,0
3980,0.155976,0
3990,0.197806,0
4000,0.207671,0
4010,0.248227,0
4020,0.283899,0
4030,0.318092,0
4040,0.225141,0
4050,0.211636,0
4060,0.144063,0
4070,0.158608,0
4080,0.104126,0
4090,0.0954022,0
4100,0.243867,0
4110,0.0961741,0
4120,0.0899643,0
4130,0.067001,0
4140,0.0873837,0
4150,0.150205,0
4160,0.0969877,0
4170,0.180676,0
4180,0.0986361,0
4190,0.272832,0
4200,0.124628,0
4210,0.166776,0
4220,0.337693,0
4230,0.357641,0
4240,0.111925,0
4250,0.134374,0
4260,0.0764311,0
4270,0.361337,0
4280,0.173005,0
4290,0.130426,0
4300,0.233364,0
4310,0.155371,0
4320,0.118633,0
4330,0.153344,0
4340,0.17207,0
4350,0.186859,0
4360,0.269669,0
4370,0.313587,0
4380,0.208087,0
4390,0.277211,0
4400,0.113324,0
4410,0.225588,0
4420,0.142082,0
4430,0.0867833,0
4440,0.150512,0
4450,0.0508791,0
4460,0.0826549,0
4470,0.125232,0
4480,0.211996,0
4490,0.199475,0
4500,0.203557,0
4510,0.220957,0
4520,0.0914765,0
4530,0.137831,0
4540,0.0563737,0
4550,0.0865685,0
4560,0.272171,0
4570,0.20978,0
4580,0.0507888,0
4590,0.0761311,0
4600,0.320726,0
4610,0.180217,0
4620,0.167548,0
4630,0.222072,0
4640,0.103622,0
4650,0.222504,0
4660,0.181111,0
4670,0.156726,0
4680,0.0965322,0
4690,0.132355,0
4700,0.238248,0
4710,0.162059,0
4720,0.167159,0
4730,0.182912,0
4740,0.118126,0
4750,0.0272294,0
4760,0.210693,0
4770,0.105913,0
4780,0.0355829,0
4790,0.0651868,0
4800,0.0459768,0
4810,0.101948,0
4820,0.0294075,0
4830,0.174522,0
4840,0.0742788,0
4850,0.0500566,0
4860,0.0469014,0
4870,0.0579634,0
4880,0.10251,0
4890,0.161501,0
4900,0.121913,0
4910,0.114454,0
4920,0.110585,0
4930,0.155637,0
4940,0.0810416,0
4950,0.0598983,0
4960,0.0910949,0
4970,0.16591,0
4980,0.11066,0
4990,0.121937,0
5000,0.060636,0
